INSERT INTO pc_builds (id, name, cpu, motherboard, gpu, ram, storage, psu, price) VALUES
(1, 'Student PC', 'Intel Core i3-10100', 'ASUS PRIME H510M-E', 'Integrated', '8GB DDR4', '256GB SSD', '400W', '₹25,000'),
(2, 'Student PC', 'AMD Ryzen 3 3200G', 'MSI A320M-A PRO', 'Integrated', '8GB DDR4', '512GB HDD', '400W', '₹27,000'),
(3, 'Office Workstation', 'Intel Pentium Gold G6400', 'Gigabyte H410M S2H', 'Integrated', '8GB DDR4', '256GB SSD', '350W', '₹23,500'),
(4, 'Office Workstation', 'AMD Athlon 3000G', 'ASRock A320M-HDV R4.0', 'Integrated', '8GB DDR4', '512GB HDD', '350W', '₹24,000'),
(5, 'Casual Home PC', 'Intel Core i3-10100F', 'ASUS PRIME B460M-A', 'NVIDIA GT 1030', '8GB DDR4', '256GB SSD', '400W', '₹29,500'),
(6, 'Casual Home PC', 'AMD Ryzen 3 2200G', 'MSI B450M PRO-M2 MAX', 'Integrated', '8GB DDR4', '1TB HDD', '400W', '₹28,000'),
(7, 'Student PC', 'Intel Core i3-9100', 'Gigabyte B365M DS3H', 'Integrated', '8GB DDR4', '256GB SSD', '300W', '₹26,500'),
(8, 'Student PC', 'AMD Ryzen 3 3200G', 'ASRock B450M Steel Legend', 'Integrated', '8GB DDR4', '256GB SSD', '350W', '₹27,500'),
(9, 'Office Workstation', 'Intel Core i3-10100', 'ASUS PRIME H510M-K', 'Integrated', '8GB DDR4', '512GB HDD', '400W', '₹28,000'),
(10, 'Casual Home PC', 'AMD Athlon 3000G', 'MSI A520M PRO', 'Integrated', '8GB DDR4', '256GB SSD', '300W', '₹25,500'),
(11, 'Office Workstation', 'Intel Pentium Gold G6400', 'Gigabyte H310M S2H', 'Integrated', '8GB DDR4', '512GB HDD', '350W', '₹24,500'),
(12, 'Casual Home PC', 'AMD Ryzen 3 2200G', 'ASRock B450M PRO4', 'Integrated', '8GB DDR4', '256GB SSD', '400W', '₹27,000'),
(13, 'Office Workstation', 'Intel Core i3-10100', 'ASUS PRIME H410M-K', 'Integrated', '8GB DDR4', '256GB SSD', '400W', '₹26,000'),
(14, 'Student PC', 'AMD Athlon 3000G', 'MSI A320M GAMING', 'Integrated', '8GB DDR4', '1TB HDD', '350W', '₹25,000'),
(15, 'Casual Home PC', 'Intel Core i3-9100', 'Gigabyte B450M DS3H', 'Integrated', '8GB DDR4', '512GB HDD', '300W', '₹27,500'),
(16, 'Student PC', 'AMD Ryzen 3 3200G', 'ASRock A520M-HDV', 'Integrated', '8GB DDR4', '256GB SSD', '400W', '₹28,500'),
(17, 'Office Workstation', 'Intel Pentium Gold G6400', 'ASUS PRIME H310M-A', 'Integrated', '8GB DDR4', '256GB SSD', '350W', '₹23,000'),
(18, 'Student PC', 'AMD Athlon 3000G', 'MSI B450M Mortar', 'Integrated', '8GB DDR4', '512GB HDD', '300W', '₹24,500'),
(19, 'Low-Cost Gaming PC', 'Intel Core i3-10100F', 'Gigabyte A320M-S2H', 'NVIDIA GT 1030', '8GB DDR4', '256GB SSD', '400W', '₹29,000'),
(20, 'Low-Cost Gaming PC', 'AMD Ryzen 3 2200G', 'ASRock B450M Phantom Gaming 4', 'Integrated', '8GB DDR4', '512GB HDD', '400W', '₹27,500');
